Wrd,posAsm,posEng,IdeaID,Meanings
must,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
unambiguously,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
unequivocally,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
inevitably,ক্ৰিয়া বিশেষণ,Adverb,268,"ঠাৰি,ঠাৱৰকৈ,অৱশ্য,থিৰাংকৈ"
locally,ক্ৰিয়া বিশেষণ,Adverb,398,স্থানীয় ভাৱে
naturally,ক্ৰিয়া বিশেষণ,Adverb,455,"স্বভাৱসিদ্ধভাৱে,প্ৰাকৃতিকভাৱে,স্বাভাৱিকতে,normally"
normally,ক্ৰিয়া বিশেষণ,Adverb,455,"স্বভাৱসিদ্ধভাৱে,প্ৰাকৃতিকভাৱে,naturally,স্বাভাৱিকতে"
no,ক্ৰিয়া বিশেষণ,Adverb,467,"না,নাইকিয়া,নাস্তি,ওহোঁ"
not,ক্ৰিয়া বিশেষণ,Adverb,467,"না,নাইকিয়া,নাস্তি,ওহোঁ"
now,ক্ৰিয়া বিশেষণ,Adverb,472,"অধুনা,এবে,ইদানীক,এতিয়া"
happily,ক্ৰিয়া বিশেষণ,Adverb,528,"উচ্ছুকে,ৰংমনে,সোল্লাসে,প্ৰফুল্লচিত্তে"
rapidly,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
quickly,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
speedily,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
swiftly,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
hastily,ক্ৰিয়া বিশেষণ,Adverb,564,"লৌ-লৌ কৰে,তৰাতাৰি,ত্বৰিতে,কোবেৰে"
soon,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
immediately,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
instantly,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
jiffy,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
forthwith,ক্ৰিয়া বিশেষণ,Adverb,573,"হাতে হাতে,তৎকালীন,তৎকালিক,তদ্দণ্ডে"
rather,ক্ৰিয়া বিশেষণ,Adverb,575,"বৰঞ্চ,তাতকৈ,তাত কৰি,তাতোকৈ"
excessively,ক্ৰিয়া বিশেষণ,Adverb,585,"দকচি,অতিপাতকৈ,অতিপাতভাবে,অতিকৈ"
slowly,ক্ৰিয়া বিশেষণ,Adverb,642,"আস্তে,শনৈঃ,জুৰে,ধীৰে-শাঁতে"
sometime,ক্ৰিয়া বিশেষণ,Adverb,650,"কাহানিবা,কদাচিত্‍,কেতিয়াবা"
suddenly,ক্ৰিয়া বিশেষণ,Adverb,675,"সাউত্কৰে,দৈৱাৎ,খকৰাই,গিৰিসাই"
abruptly,ক্ৰিয়া বিশেষণ,Adverb,675,"সাউত্কৰে,দৈৱাৎ,খকৰাই,গিৰিসাই"
haply,ক্ৰিয়া বিশেষণ,Adverb,675,"সাউত্কৰে,দৈৱাৎ,খকৰাই,গিৰিসাই"
together,ক্ৰিয়া বিশেষণ,Adverb,722,"লগে-ভাগে,সমূহীয়াকৈ,লগে-সঙ্গে,একেলগ হৈ"
collectively,ক্ৰিয়া বিশেষণ,Adverb,722,"লগে-ভাগে,সমূহীয়াকৈ,লগে-সঙ্গে,একেলগ হৈ"
very,ক্ৰিয়া বিশেষণ,Adverb,762,"নিচেই,খুব,বৰ,অতি"
mainly,ক্ৰিয়া বিশেষণ,Adverb,783,"ঘাইকৈ,প্ৰধানকৈ,প্ৰধানতঃ,মুখ্যতঃ"
essentially,ক্ৰিয়া বিশেষণ,Adverb,783,"ঘাইকৈ,প্ৰধানকৈ,প্ৰধানতঃ,মুখ্যতঃ"
when,ক্ৰিয়া বিশেষণ,Adverb,790,"কৈসানি,কেতিয়াকৈ,কাহানিকৈ,কাহানি"
where,ক্ৰিয়া বিশেষণ,Adverb,791,"ক’তা,কোন ঠাইত,কোন জেগাত,কুত্ৰ"
why,ক্ৰিয়া বিশেষণ,Adverb,794,"কিয়নো,কি কাৰণে,কেলেই,কাহে"
daily,ক্ৰিয়া বিশেষণ,Adverb,935,"অনুদিন,নিতৌ,প্ৰতিদিনে,নিত্যে"
everyday,ক্ৰিয়া বিশেষণ,Adverb,935,"অনুদিন,নিতৌ,প্ৰতিদিনে,নিত্যে"
freely,ক্ৰিয়া বিশেষণ,Adverb,1019,"অবাধে,মুক্তহস্তে,স্বচ্ছন্দে,উদাৰভাৱে"
generously,ক্ৰিয়া বিশেষণ,Adverb,1019,"অবাধে,মুক্তহস্তে,স্বচ্ছন্দে,উদাৰভাৱে"
liberally,ক্ৰিয়া বিশেষণ,Adverb,1019,"অবাধে,মুক্তহস্তে,স্বচ্ছন্দে,উদাৰভাৱে"
quietly,ক্ৰিয়া বিশেষণ,Adverb,1070,"মনে মনে,নিৰৱে,আঁৰলে-নিৰলে,নিশব্দে"
silently,ক্ৰিয়া বিশেষণ,Adverb,1070,"মনে মনে,নিৰৱে,আঁৰলে-নিৰলে,নিশব্দে"
unobtrusively,ক্ৰিয়া বিশেষণ,Adverb,1070,"মনে মনে,নিৰৱে,আঁৰলে-নিৰলে,নিশব্দে"
soundlessly,ক্ৰিয়া বিশেষণ,Adverb,1070,"মনে মনে,নিৰৱে,আঁৰলে-নিৰলে,নিশব্দে"
now-a-days,ক্ৰিয়া বিশেষণ,Adverb,1160,আজিকালি
gluttonously,ক্ৰিয়া বিশেষণ,Adverb,1267,"ৰুন্দি-খুন্দি,পেট পূৰাই,দবনিকৈ,হেঁপাহ পলুৱাই"
accordingly,ক্ৰিয়া বিশেষণ,Adverb,1374,"অনুসাৰে,অনুসৰি,মতে,অনুৰূপে"
around,ক্ৰিয়া বিশেষণ,Adverb,1465,"চাৰিওফাল,চৌদিশ,চৌপাশ,surround"
surround,ক্ৰিয়া বিশেষণ,Adverb,1465,"চাৰিওফাল,চৌদিশ,চৌপাশ,around"
easily,ক্ৰিয়া বিশেষণ,Adverb,1600,"হেলাৰঙে,অপ্ৰবন্ধে,অবাধে,নিৰ্বিঘ্নে"
effortlessly,ক্ৰিয়া বিশেষণ,Adverb,1600,"হেলাৰঙে,অপ্ৰবন্ধে,অবাধে,নিৰ্বিঘ্নে"
kindly,ক্ৰিয়া বিশেষণ,Adverb,1761,"দয়া কৰি,কৃপা কৰি"
always,ক্ৰিয়া বিশেষণ,Adverb,1774,"সকলোতে,প্ৰতিনিয়ত,invariably"
invariably,ক্ৰিয়া বিশেষণ,Adverb,1774,"সকলোতে,প্ৰতিনিয়ত,always"
always,ক্ৰিয়া বিশেষণ,Adverb,1780,"সৰ্ব্বদা,সৰ্ব্বদায়,সদা,নিত্য"
ever,ক্ৰিয়া বিশেষণ,Adverb,1780,"সৰ্ব্বদা,সৰ্ব্বদায়,সদা,নিত্য"
not,ক্ৰিয়া বিশেষণ,Adverb,1792,"ন,না,নোহে,নহয়"
sadly,ক্ৰিয়া বিশেষণ,Adverb,1971,"দুঃখিত ভাৱে,দুখেৰে,unhappily"
unhappily,ক্ৰিয়া বিশেষণ,Adverb,1971,"দুঃখিত ভাৱে,দুখেৰে,sadly"
externally,ক্ৰিয়া বিশেষণ,Adverb,2329,বাহ্যিকভাৱে
frequently,ক্ৰিয়া বিশেষণ,Adverb,2480,"ঘনাই,পুটুক পুটুক কৰে,ঘনেপতি,ঘনে"
usually,ক্ৰিয়া বিশেষণ,Adverb,2482,"সততে,প্ৰায়েই,সাধাৰণতঃ,সাধাৰণতে"
often,ক্ৰিয়া বিশেষণ,Adverb,2482,"সততে,প্ৰায়েই,সাধাৰণতঃ,সাধাৰণতে"
generally,ক্ৰিয়া বিশেষণ,Adverb,2482,"সততে,প্ৰায়েই,সাধাৰণতঃ,সাধাৰণতে"
openly,ক্ৰিয়া বিশেষণ,Adverb,2558,"প্ৰকাশ্যে,দেখাদেখিকৈ,দেখাশুনাকৈ,সণ্ঢালনিকৈ"
overtly,ক্ৰিয়া বিশেষণ,Adverb,2558,"প্ৰকাশ্যে,দেখাদেখিকৈ,দেখাশুনাকৈ,সণ্ঢালনিকৈ"
barely,ক্ৰিয়া বিশেষণ,Adverb,2612,"একৰকম,যথাতথাৰূপে,যেনে তেনে,যেনতেনকৈ"
hardly,ক্ৰিয়া বিশেষণ,Adverb,2612,"একৰকম,যথাতথাৰূপে,যেনে তেনে,যেনতেনকৈ"
anyhow,ক্ৰিয়া বিশেষণ,Adverb,2612,"একৰকম,যথাতথাৰূপে,যেনে তেনে,যেনতেনকৈ"
way,ক্ৰিয়া বিশেষণ,Adverb,2615,"ৰকমে,প্ৰকাৰে,দৰে,স্বৰূপে"
manner,ক্ৰিয়া বিশেষণ,Adverb,2615,"ৰকমে,প্ৰকাৰে,দৰে,স্বৰূপে"
eventually,ক্ৰিয়া বিশেষণ,Adverb,2620,"মূৰকত,অন্তত,মূৰত,শেহান্তৰত"
finally,ক্ৰিয়া বিশেষণ,Adverb,2620,"মূৰকত,অন্তত,মূৰত,শেহান্তৰত"
anonymously,ক্ৰিয়া বিশেষণ,Adverb,2707,বেনামীভাৱে
especially,ক্ৰিয়া বিশেষণ,Adverb,2877,"ঘাইকৈ,প্ৰধানকৈ,বিশেষকৈ,মুখ্যতঃ"
particularly,ক্ৰিয়া বিশেষণ,Adverb,2877,"ঘাইকৈ,প্ৰধানকৈ,বিশেষকৈ,মুখ্যতঃ"
specially,ক্ৰিয়া বিশেষণ,Adverb,2877,"ঘাইকৈ,প্ৰধানকৈ,বিশেষকৈ,মুখ্যতঃ"
peculiarly,ক্ৰিয়া বিশেষণ,Adverb,2877,"ঘাইকৈ,প্ৰধানকৈ,বিশেষকৈ,মুখ্যতঃ"
directly,ক্ৰিয়া বিশেষণ,Adverb,2891,"প্ৰত্যক্ষভাৱে,পোনপটীয়াভাৱে,পোনপটীয়াকৈ,চিধা-চিধি"
uprightly,ক্ৰিয়া বিশেষণ,Adverb,2891,"প্ৰত্যক্ষভাৱে,পোনপটীয়াভাৱে,পোনপটীয়াকৈ,চিধা-চিধি"
straightly,ক্ৰিয়া বিশেষণ,Adverb,2891,"প্ৰত্যক্ষভাৱে,পোনপটীয়াভাৱে,পোনপটীয়াকৈ,চিধা-চিধি"
moreover,ক্ৰিয়া বিশেষণ,Adverb,2907,"তদুপৰি,ততোধিক,উপৰি,বাহিৰেও"
further,ক্ৰিয়া বিশেষণ,Adverb,2907,"তদুপৰি,ততোধিক,উপৰি,বাহিৰেও"
besides,ক্ৰিয়া বিশেষণ,Adverb,2907,"তদুপৰি,ততোধিক,উপৰি,বাহিৰেও"
additionally,ক্ৰিয়া বিশেষণ,Adverb,2907,"তদুপৰি,ততোধিক,উপৰি,বাহিৰেও"
in addition,ক্ৰিয়া বিশেষণ,Adverb,2907,"তদুপৰি,ততোধিক,উপৰি,বাহিৰেও"
obliquely,ক্ৰিয়া বিশেষণ,Adverb,2993,"কেঁচীয়াকৈ,কতীয়াকৈ,কেৰাহিকৈ,এফলীয়াকৈ"
diagonally,ক্ৰিয়া বিশেষণ,Adverb,2993,"কেঁচীয়াকৈ,কতীয়াকৈ,কেৰাহিকৈ,এফলীয়াকৈ"
greatly,ক্ৰিয়া বিশেষণ,Adverb,3023,"ভীষণ,অতিকৈ,নথৈ,অত্যন্তৰূপে"
extremely,ক্ৰিয়া বিশেষণ,Adverb,3023,"ভীষণ,অতিকৈ,নথৈ,অত্যন্তৰূপে"
highly,ক্ৰিয়া বিশেষণ,Adverb,3023,"ভীষণ,অতিকৈ,নথৈ,অত্যন্তৰূপে"
hugely,ক্ৰিয়া বিশেষণ,Adverb,3023,"ভীষণ,অতিকৈ,নথৈ,অত্যন্তৰূপে"
most,ক্ৰিয়া বিশেষণ,Adverb,3023,"ভীষণ,অতিকৈ,নথৈ,অত্যন্তৰূপে"
constantly,ক্ৰিয়া বিশেষণ,Adverb,3024,"প্ৰতিপদে,পদে পদে"
step by step,ক্ৰিয়া বিশেষণ,Adverb,3025,"উত্তৰোত্তৰ,ক্ৰমাৎ,তিল্‌ তিল্‌কৈ,ক্ৰমাগতভাৱে"
gradually,ক্ৰিয়া বিশেষণ,Adverb,3025,"উত্তৰোত্তৰ,ক্ৰমাৎ,তিল্‌ তিল্‌কৈ,ক্ৰমাগতভাৱে"
steadily,ক্ৰিয়া বিশেষণ,Adverb,3025,"উত্তৰোত্তৰ,ক্ৰমাৎ,তিল্‌ তিল্‌কৈ,ক্ৰমাগতভাৱে"
alias,ক্ৰিয়া বিশেষণ,Adverb,3342,"ওৰফে,Aka,a.k.a.,ওৰ্ফ"
Aka,ক্ৰিয়া বিশেষণ,Adverb,3342,"ওৰফে,a.k.a.,ওৰ্ফ,alias"
a.k.a.,ক্ৰিয়া বিশেষণ,Adverb,3342,"ওৰফে,Aka,ওৰ্ফ,alias"
amended,ক্ৰিয়া বিশেষণ,Adverb,3358,"পৰিশোধিত,পৰিমাৰ্জিত,সংশোধিত"
face to face,ক্ৰিয়া বিশেষণ,Adverb,3487,"সমুখা-সমুখিকৈ,আগ-চামিলে,মুখা-মুখিকৈ,মুখামুখি"
mentally,ক্ৰিয়া বিশেষণ,Adverb,3609,মানসিকভাবে
physically,ক্ৰিয়া বিশেষণ,Adverb,3610,"দৈহিকভাৱে,কায়িকভাৱে,গায়ে-গাৰিয়ে,শাৰীৰিকভাৱে"
onward,ক্ৰিয়া বিশেষণ,Adverb,3690,"foreward,সন্মূখলৈ,আগলৈ,forward"
forward,ক্ৰিয়া বিশেষণ,Adverb,3690,"foreward,সন্মূখলৈ,আগলৈ,onward"
foreward,ক্ৰিয়া বিশেষণ,Adverb,3690,"সন্মূখলৈ,আগলৈ,onward,forward"
back,ক্ৰিয়া বিশেষণ,Adverb,3691,"পূৰ্বাৱস্থালৈ,পিছুৱাই,পশ্চাদাভিমুখে,পাছলৈ"
backward,ক্ৰিয়া বিশেষণ,Adverb,3691,"পূৰ্বাৱস্থালৈ,পিছুৱাই,পশ্চাদাভিমুখে,পাছলৈ"
correctly,ক্ৰিয়া বিশেষণ,Adverb,3756,"ঠিকমতে,সঠিককৈ,নিৰ্ভুলৰূপে,শুদ্ধৰূপে"
aright,ক্ৰিয়া বিশেষণ,Adverb,3756,"ঠিকমতে,সঠিককৈ,নিৰ্ভুলৰূপে,শুদ্ধৰূপে"
properly,ক্ৰিয়া বিশেষণ,Adverb,3756,"ঠিকমতে,সঠিককৈ,নিৰ্ভুলৰূপে,শুদ্ধৰূপে"
rightly,ক্ৰিয়া বিশেষণ,Adverb,3756,"ঠিকমতে,সঠিককৈ,নিৰ্ভুলৰূপে,শুদ্ধৰূপে"
unfortunately,ক্ৰিয়া বিশেষণ,Adverb,3789,"দুৰ্ভাগ্যক্ৰমে,দুৰ্ভাগ্যবশতঃ"
inside,ক্ৰিয়া বিশেষণ,Adverb,3832,ভিতৰলৈ
early,ক্ৰিয়া বিশেষণ,Adverb,3840,"সোনকাল,আগতীয়া,আগʼইতা  "
fact,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
really,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
actually,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
in fact,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
indeed,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
truly,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
forsooth,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
truthfully,ক্ৰিয়া বিশেষণ,Adverb,3933,"দৰাচলে,সঁচাকৈ,স্বৰূপাৰ্থত,সত্যে সত্যে"
aloud,ক্ৰিয়া বিশেষণ,Adverb,4222,আটাহ পাৰি
hereafter,ক্ৰিয়া বিশেষণ,Adverb,4230,ইয়াৰ পাছত
deeply,ক্ৰিয়া বিশেষণ,Adverb,4341,"দ কৈ,গভীৰভাৱে,মৰ্মে মৰ্মে,অন্তৰেৰে"
aloof,ক্ৰিয়া বিশেষণ,Adverb,4357,"আঁতৰত,নিলগত"
bordering,ক্ৰিয়া বিশেষণ,Adverb,4392,"গাতে গা লগাই,কাষে কাষে,গাতে গা বোলাই,ওচৰে-ওচৰে"
alongside,ক্ৰিয়া বিশেষণ,Adverb,4392,"গাতে গা লগাই,কাষে কাষে,গাতে গা বোলাই,ওচৰে-ওচৰে"
beside,ক্ৰিয়া বিশেষণ,Adverb,4392,"গাতে গা লগাই,কাষে কাষে,গাতে গা বোলাই,ওচৰে-ওচৰে"
once,ক্ৰিয়া বিশেষণ,Adverb,4409,"এবেলি,এবাৰ"
still,ক্ৰিয়া বিশেষণ,Adverb,4488,"তথাপি,এতিয়াও,এতো,এতেবেলি"
even,ক্ৰিয়া বিশেষণ,Adverb,4488,"তথাপি,এতিয়াও,এতো,এতেবেলি"
yet,ক্ৰিয়া বিশেষণ,Adverb,4488,"তথাপি,এতিয়াও,এতো,এতেবেলি"
even then,ক্ৰিয়া বিশেষণ,Adverb,4488,"তথাপি,এতিয়াও,এতো,এতেবেলি"
astray,ক্ৰিয়া বিশেষণ,Adverb,4521,"আওবাটে,বিপথে,অবাটে,পথভ্ৰষ্ট"
afoot,ক্ৰিয়া বিশেষণ,Adverb,4637,"পদব্ৰজে,on foot,খোজকাঢ়ি"
on foot,ক্ৰিয়া বিশেষণ,Adverb,4637,"পদব্ৰজে,খোজকাঢ়ি,afoot"
again,ক্ৰিয়া বিশেষণ,Adverb,4638,"আৰু,পুনৰায়,দুনাই,পুনৰপি"
afresh,ক্ৰিয়া বিশেষণ,Adverb,4638,"আৰু,পুনৰায়,দুনাই,পুনৰপি"
anew,ক্ৰিয়া বিশেষণ,Adverb,4638,"আৰু,পুনৰায়,দুনাই,পুনৰপি"
alive,ক্ৰিয়া বিশেষণ,Adverb,4669,"জীৱন্তে,জীয়াই-জীয়াই"
where,ক্ৰিয়া বিশেষণ,Adverb,4741,"কেহেলৈ,কোন পিনে,কোন দিশে,কৈক"
which way,ক্ৰিয়া বিশেষণ,Adverb,4741,"কেহেলৈ,কোন পিনে,কোন দিশে,কৈক"
consecutively,ক্ৰিয়া বিশেষণ,Adverb,4869,"লেথাৰি নিছিগাকৈ,একাদিক্ৰমে,একেলেথাৰিয়ে"
illegally,ক্ৰিয়া বিশেষণ,Adverb,4920,"নীতিবিৰুদ্ধভাৱে,বিধিবৰ্হিভূতভাৱে,অন্যায়কৈ,অযুগুতভাৱে"
unlawfully,ক্ৰিয়া বিশেষণ,Adverb,4920,"নীতিবিৰুদ্ধভাৱে,বিধিবৰ্হিভূতভাৱে,অন্যায়কৈ,অযুগুতভাৱে"
separately,ক্ৰিয়া বিশেষণ,Adverb,4951,"বেলেগে,আলগে,সুকীয়াকৈ,আছুতীয়াকৈ"
distinctly,ক্ৰিয়া বিশেষণ,Adverb,4951,"বেলেগে,আলগে,সুকীয়াকৈ,আছুতীয়াকৈ"
alone,ক্ৰিয়া বিশেষণ,Adverb,4970,"অকলশৰে,অকলশৰীয়াকৈ,অকলে,নিসঙ্গ"
captured,ক্ৰিয়া বিশেষণ,Adverb,5040,"কৰায়ত্ত,আটকাধীন,apprehended,detained"
apprehended,ক্ৰিয়া বিশেষণ,Adverb,5040,"কৰায়ত্ত,আটকাধীন,detained,arrested"
detained,ক্ৰিয়া বিশেষণ,Adverb,5040,"কৰায়ত্ত,আটকাধীন,apprehended,arrested"
arrested,ক্ৰিয়া বিশেষণ,Adverb,5040,"কৰায়ত্ত,আটকাধীন,apprehended,detained"
scientifically,ক্ৰিয়া বিশেষণ,Adverb,5048,বিজ্ঞানসন্মতভাৱে
red-handed,ক্ৰিয়া বিশেষণ,Adverb,5049,হাতে-লোটে
endangered,ক্ৰিয়া বিশেষণ,Adverb,5090,"বিলুপ্তপ্ৰায়,বিপদাপন্ন,সংকটাপন্ন,বিপদগ্ৰস্ত"
imperilled,ক্ৰিয়া বিশেষণ,Adverb,5090,"বিলুপ্তপ্ৰায়,বিপদাপন্ন,সংকটাপন্ন,বিপদগ্ৰস্ত"
indirectly,ক্ৰিয়া বিশেষণ,Adverb,5115,"প্ৰকাৰন্তে,পাকে-প্ৰকাৰে,প্ৰকাৰান্তে,প্ৰকাৰান্তৰে"
apparently,ক্ৰিয়া বিশেষণ,Adverb,5179,"আপাত-দৃষ্টিত,উপৰুৱাকৈ চালে,আপাততঃ"
of late,ক্ৰিয়া বিশেষণ,Adverb,5215,"আপাততঃ,অতিসম্প্ৰতি,অথনি,অলপতে"
lately,ক্ৰিয়া বিশেষণ,Adverb,5215,"আপাততঃ,অতিসম্প্ৰতি,অথনি,অলপতে"
recently,ক্ৰিয়া বিশেষণ,Adverb,5215,"আপাততঃ,অতিসম্প্ৰতি,অথনি,অলপতে"
latterly,ক্ৰিয়া বিশেষণ,Adverb,5215,"আপাততঃ,অতিসম্প্ৰতি,অথনি,অলপতে"
repeatedly,ক্ৰিয়া বিশেষণ,Adverb,5371,"সঘনে,বাৰেপতি,পুনঃ পুনঃ,দফে দফে"
again and again,ক্ৰিয়া বিশেষণ,Adverb,5371,"সঘনে,বাৰেপতি,পুনঃ পুনঃ,দফে দফে"
forcefully,ক্ৰিয়া বিশেষণ,Adverb,5403,"সজোৰে,জোৰেৰে,জোৰ-জবৰদস্তি কৰি,জোৰ-জুলুমকৈ"
so,ক্ৰিয়া বিশেষণ,Adverb,5502,"অতএব,ভালেতো,ভালেহে,এতেকতে"
therefore,ক্ৰিয়া বিশেষণ,Adverb,5502,"অতএব,ভালেতো,ভালেহে,এতেকতে"
consequently,ক্ৰিয়া বিশেষণ,Adverb,5502,"অতএব,ভালেতো,ভালেহে,এতেকতে"
hence,ক্ৰিয়া বিশেষণ,Adverb,5502,"অতএব,ভালেতো,ভালেহে,এতেকতে"
as result,ক্ৰিয়া বিশেষণ,Adverb,5502,"অতএব,ভালেতো,ভালেহে,এতেকতে"
by hand,ক্ৰিয়া বিশেষণ,Adverb,5516,হাতে হাতে
personally,ক্ৰিয়া বিশেষণ,Adverb,5643,ব্যক্তিগতভাৱে
seriously,ক্ৰিয়া বিশেষণ,Adverb,5672,গভীৰভা‌ৱে
hastily,ক্ৰিয়া বিশেষণ,Adverb,5721,"নিৰ্বিচাৰে,জধেমধে,উধাইমুধাই,ঊধা-মূধাকৈ"
indiscriminately,ক্ৰিয়া বিশেষণ,Adverb,5721,"নিৰ্বিচাৰে,জধেমধে,উধাইমুধাই,ঊধা-মূধাকৈ"
haphazardly,ক্ৰিয়া বিশেষণ,Adverb,5721,"নিৰ্বিচাৰে,জধেমধে,উধাইমুধাই,ঊধা-মূধাকৈ"
just,ক্ৰিয়া বিশেষণ,Adverb,5725,"ঠিক,কথমপি,একেবাৰে,এইমাত্ৰ"
nowhere,ক্ৰিয়া বিশেষণ,Adverb,5730,ক’তো
rarely,ক্ৰিয়া বিশেষণ,Adverb,5732,"কস্মিন,কস্মিনকালে,কোনোকালে,কদাচিৎ"
seldom,ক্ৰিয়া বিশেষণ,Adverb,5732,"কস্মিন,কস্মিনকালে,কোনোকালে,কদাচিৎ"
